Rank,Player,Player_ID,Points
119,Daniel Taro,h4fpmGci,485
120,Majchrzak Kamil,fPZlNrGS,482
121,Royer Valentin,IFGPWCuI,482
122,Kopriva Vit,EHGKxKDL,481
123,Moreno De Alboran Nicolas,OGLM2tDB,468
124,Coria Federico,vJdE1Bg7,466
125,Ritschard Alexander,ELceBHcR,466
126,Cerundolo Juan Manuel,A93TM7BR,461
127,Kovalik Jozef,dAbTjNiB,460
128,Purcell Max,GMK1R241,456
129,Schoolkate Tristan,hn8XQkiU,450
130,Kym Jerome,0dNeJ8OB,449
131,Ofner Sebastian,h6vs3iR2,448
132,Mayot Harold,jPfM16Z1,445
133,Virtanen Otto,hnYnFaTm,440
134,Spizzirri Eliot,tSMeRRDm,434
135,Quinn Ethan,fDEtnFgg,432
136,Garin Cristian,U73k5I15,431
137,Burruchaga Roman Andres,CE7B5N90,430
138,Gomez Federico Agustin,SCQXS9So,429
139,Nagal Sumit,46aHbwDc,428
140,Diaz Acosta Facundo,AsRYv2m2,423
141,Krueger Mitchell,j9Kf20T0,416
142,Harris Lloyd,YyK3wlb0,416
143,Cilic Marin,nLoK5syL,413
144,Basilashvili Nikoloz,Kb8ttRy2,412
145,Mannarino Adrian,fLOdtByM,411
146,Landaluce Martin,AoOnGZEp,411
147,Koepfer Dominik,AmrI05YH,398
148,Gasquet Richard,GxY5TctR,398
149,Barrios Vera Tomas,Ewzudtxk,388
150,Herbert Pierre-Hugues,vD0zNRBM,383
151,Jacquet Kyrian,KGKot0sk,376
152,Heide Gustavo,6krWmGif,375
153,Moro Canas Alejandro,MkI9xkTq,375
154,Uchiyama Yasutaka,vD2Ddcni,375
155,Mochizuki Shintaro,KrwvlzXb,374
156,Moller Elmer,SU8MMreH,370
157,Barrere Gregoire,GMcjaMop,367
158,Blanchet Ugo,pSmNT7D2,360
159,Galarneau Alexis,EHhqit59,359
160,Kukushkin Mikhail,OSUB7Jy0,358
161,Rocha Henrique,b7jXvxef,358
162,Ficovich Juan Pablo,WpchB57t,356
163,Blockx Alexander,xll0TzGG,354
164,Trungelliti Marco,dQJqWoGg,354
165,Svrcina Dalibor,vDue624T,351
166,Klein Lukas,O49b2LJR,350
167,Ajdukovic Duje,n11bz7QK,345
168,Wawrinka Stan,Uo9lu6le,339
169,Hemery Calvin,fse58iGB,337
170,Taberner Carlos,EcdVVulk,332
171,Tu Li,6JHGYtjI,331
172,Huesler Marc-Andrea,4YcyuHl1,330
173,Kachmazov Alibek,Yko3C909,330
174,van Assche Luca,nP9K42Bg,329
175,Skatov Timofey,h6n0i9iE,328
176,Meligeni Alves Felipe,rLEXNv74,320
177,Habib Hady,baBp6CDD,320
178,Choinski Jan,Es82hMVD,319
179,Draxl Liam,IiUa42eG,318
180,Atmane Terence,6mkEQ279,317
181,Trotter James Kent,n15mxYdM,317
182,Wong Chak Lam Coleman,zJqvgzz6,312
183,Evans Daniel,Ya9jkSU5,311
184,McCabe James,2uDohcK5,310
185,Gigante Matteo,r3iKpV0F,306
186,Mena Facundo,GALIwHH5,306
187,Vallejo Adolfo Daniel,U5RiWEZu,306
188,Shimabukuro Sho,86URR6MP,304
