Tournament,Surface,Court,Player_1,Player_2,ID_P1,ID_P2,Round,Date,EVENT_ID,Odd_1,Odd_2,Rank_1,Rank_2,Pts_1,Pts_2
M15 Heraklion 2 ITF Men,hard,Outdoor,Alkaya M.,Ilkel C.,biuyCvl4,pxWMQw75,1/8-finals,2025-03-27,hrBzKadD,3.15,1.36,815.0,578.0,26.0,60.0
M15 Heraklion 2 ITF Men,hard,Outdoor,Mott B.,Dinev D.,2mN5CUjs,zNdtoUgO,1/8-finals,2025-03-27,dCkHcscS,,,482.0,913.0,85.0,19.0
M15 Heraklion 2 ITF Men,hard,Outdoor,Vales A.,Pieczkowski O.,Y75GebJP,tlePPAg5,1/8-finals,2025-03-27,x8Axp5GF,2.2,1.62,916.0,574.0,19.0,61.0
M15 Heraklion 2 ITF Men,hard,Outdoor,Bonding O.,Parker S.,SGkttdYl,tSMxmjU3,1/8-finals,2025-03-27,fXbjIEwJ,4.5,1.22,957.0,464.0,16.0,92.0
M15 Heraklion 2 ITF Men,hard,Outdoor,Smith K.,Gruenig G.,z14Q4mTq,CbNCwOAJ,1/8-finals,2025-03-27,lI6xqC7T,1.2,4.33,541.0,1481.0,69.0,3.0
M15 Heraklion 2 ITF Men,hard,Outdoor,Sakellaridis S.,Jones M.,2Dmhcv8C,SQDcRsUr,1/8-finals,2025-03-27,M3pWw1Pb,1.22,4.6,455.0,801.0,97.0,28.0
M15 Heraklion 2 ITF Men,hard,Outdoor,Walters M.,Serafini M.,ITigdhOG,b1cyvN26,1/8-finals,2025-03-27,rVzM85Gj,3.25,1.33,1367.0,520.0,5.0,75.0
M15 Heraklion 2 ITF Men,hard,Outdoor,Dalmasso G.,Tsitsipas Pe.,z7Wfy5c4,v9LewqHa,1/8-finals,2025-03-27,CzGh2K0m,1.4,3.1,749.0,1965.0,33.0,1.0
W15 Heraklion 2 ITF Women,clay,Outdoor,Barbulescu B.,Korokozidi E.,Yuujebcr,MZvOlfWi,1/8-finals,2025-03-27,84tuQBiL,,,,,,
W15 Heraklion 2 ITF Women,clay,Outdoor,Bouzo Zanotti N.,Voracek E. M.,0rIlE6iB,IsBHH83s,1/8-finals,2025-03-27,zDVEEpdm,,,,,,
